,content,label
4265,#回龙观关注# 赶紧检查一下你家里的牙膏，如果是黑色条赶紧扔掉！买牙膏时注意牙膏管反面底部的颜色条。今天才知道，原来颜色条有含义啊！尽量选择绿色和蓝，共分4种: 绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学。罐子们快看一下你的牙膏是什么颜色？ 转自：遐想的叶子,谣言
8363,【权威访谈·乘势而上奋勇前进——王凯：抓重点补短板增强发展动能】8月30日起，人民日报、新华社、中央广播电视总台、经济日报等中央主要媒体陆续推出“权威访谈——城市篇”系列报道，充分展示各地、各部门做好“六稳”“六保”工作的突出亮点和典型经验。我市作为“城市篇”的开篇，省委常委、市委书记王凯接受专访，详细介绍了我市贯彻落实党中央的决策部署，下先手棋、打主动仗，抓大不放小，扬长又补短，扎实做好“六稳”工作、全面落实“六保”任务，力促经济逆势上扬的生动实践。http://t.cn/A64y8jQA,事实
34,据说这是今天中午新浪微博上不去的原因……,谣言
7290,【星战角色乱入白宫护卫发言人】当地时间12月18日，美国华盛顿，白宫发言人欧内斯特举行新闻发布会，遭《星球大战》人物R2D2和帝国突击队士兵“闹场”。当天，白宫为军人家庭的子女播放《星球大战：原力觉醒》。http://t.cn/R4UAq0z,事实
7814,你常记不住重要的事，倒是很容易把别人说的话放心上，要知道，你的所有努力，不过是为了让自己更好，当你知道自己为什么而活，也就不会再在乎流言蜚语。因为向前跑的人没时间听他身后的人叫嚷。“堵住耳朵，听听心里的声音”#你是最好的自己#,事实
252,@东风周密 @政经观察员范利祥 @杜艳 :全国人口普查最新结果公布：惊人！ 网上接连爆出“房姐”、“房妹”、“房叔”、“房婶”事件后，公安部对“房事”涉及的户籍管理问题展开彻查。经过全国56.71万管理户籍的民警48小时彻夜核查，发现重叠户口3.5亿多，其中最多的一人同时拥有176个不同城镇的户口。,谣言
6554,"【男子夜抢宾馆不料服务员是跆拳道高手[吃惊]】近日，一男子凌晨到安徽滁州某宾馆企图抢钱，手持板砖砸向熟睡服务员。没成想服务员郝强没被砸晕，反而醒来将歹徒打倒在地，原来郝强是跆拳道高手。警方：郝强属正当防卫。嫌疑人已被批捕。（中安在线）http://t.cn/RUOG3I4郝强,好强！",事实
6049,#V影响力峰会#【谁能活捉@回忆专用小马甲？[笑cry]】微博@V影响力峰会今天召开，千名大V齐聚，小新也在哦[偷笑]。大V都长什么样？满脸马赛克的@马伯庸霸道总裁@来去之间@我的前任是极品果然极品[色]还有搞笑的@天才小熊猫、@博物杂志的后脑勺，快来看！[拜拜]据说全民都在等看马建国真人照！,事实
4864,【马里首都巴马科一酒店内170人遭两名歹徒劫持】据法新社，“圣战”分子在马利首都巴马科市中心丽笙大酒店内开枪滥射，包括客人和员工在内的170人被两名歹徒劫持，其中客人140人，酒店员工30人。俄新社称，至少有5人在袭击中死亡。英国“天空新闻”称，至少有10名枪手被认为参与了此次劫持人质事件。,事实
1286,這就是強國法律!李雙江之子李天一強姦罪被拘捕。李的76人律師團領隊、法律大學副校長張愛國教授對媒體表示，李天一因是第一個與被害女子發生關係，所以不構成輪姦罪，只是以判罰較輕的強姦罪批捕，這是律師團所有成員共同努力的結果在強國輪姦都要第一個上！ - 原文地址：O网页链接 ,谣言
1838,#北师大---一支牙膏引起的血案#【多谢宿友不杀之恩】 昨天北师大两个学生因为一支牙膏的一点牙膏，引发了一场颠覆社会的捅刀事件。小小的私人恩怨，加上用了一点牙膏这导火索，最终酿成这个惨剧。被捅的童鞋住进了中大五院，脱离生命危险。希望这个同学快点康复！详情 O网页链接 via珠海为伍 ,谣言
7243,#万象#【地铁哺乳风波拍照博主道歉了】日前，一位母亲在北京地铁上哺乳被拍照发上微博，并被批“裸露性器官”。当事母亲称事情已对其生活造成困扰，其丈夫则准备打官司维权。拍照博主在连发“怪我咯、就不删”的微博后，终于道歉：“我应该理解那位妈妈的行为，再次说声对不起…”http://t.cn/RUeSsku,事实
7174,一名女网友爆料称在2016年11月11日凌晨三点半，她与朋友在丽江宁蒗一烧烤店就餐时，遭多名男子辱骂暴打半个小时，被用碎酒瓶划脸致“毁容”。施暴者一边打一边录视频，离开时还抢走女子钱包等财物，只留一部手机打120急救。该女游客称在被殴打过程中，烧烤店内无人阻止和报警。“被毁容”女游客在...展开全文c,事实
